genus,epithet,voucher
Heracleum,sphondylium,none
Ligusticum,porteri,none
Osmorhiza,depauperata,none
Cymopterus,lemmonii,none
Senecio,wootonii,none
Symphyotrichum,foliaceum,none
Lappula,squarrosa,none
Mertensia,ciliata,none
Mertensia,fusiformis,none
Boechera,stricta,none
Cardamine,cordifolia,none
Draba,spectabilis,none
Erysimum,capitatum,none
Thlaspi,arvense,none
Lonicera,involucrata,none
Stellaria,longifolia,none
Lupinus,argenteus,none
Lupinus,crassus,none
Lathyrus,leucanthus,none
Trifolium,hybridum,none
Trifolium,pratense,none
Vicia,americana,none
Iris,missouriensis,none
Zigadenus,elegans,none
Castilleja,miniata,none
Castilleja,sulphurea,none
Pedicularis,groenlandica,none
Corydalis,aurea,none
Erythranthe,guttata,none
Polemonium,foliosissimum,none
Bistorta,bistortoides,none
Aquilegia,coerulea,none
Aquilegia,elegantula,none
Delphinium,barbeyi,none
Ranunculus,alismifolius,none
Ranunculus,inamoenus,none
Dasiphora,fruticosa,none
Geum,triflorum,none
Potentilla,biennis,none
Mitella,stauropetala,none
Valeriana,occidentalis,none
Ligusticum,grayi,J.S. 7
Amsonia,tomentosa,R.C.B. 1237
Acourtia,wrightii,R.C.B. 1273
Arnica,latifolia,R.C.B. 2150
Arnica,sororia,R.C.B. 1332
Chaenactis,douglasii,R.C.B. 1408
Chaenactis,douglasii,R.C.B. 2068
Crepis,occidentalis,R.C.B. 1305
Erigeron,aphanactis,R.C.B. 1407
Erigeron,corymbosus,R.C.B. 2069
Erigeron,speciosus,R.C.B. 2217
Erigeron,subtrinervis,R.C.B. 2216
Heliomeris,multiflora,R.C.B. 2201
Heterotheca,villosa,R.C.B. 2079
Iva,axillaris,R.C.B. 1300
Oreostemma,alpigenum,R.C.B. 1728
Senecio,hydrophilus,R.C.B. 2123
Solidago,canadensis,R.C.B. 2194
Symphyotrichum,(Lindl.,J.S. 6
Symphyotrichum,foliaceum,R.C.B. 2192
Xylorhiza,glabriuscula,R.C.B. 2084
Xylorhiza,glabriuscula,R.C.B. 2097
Oreocarya,glomerata,R.C.B. 2067
Phacelia,humilis,R.C.B. 1354
Phacelia,sericea,R.C.B. 1427
Opuntia,basilaris,R.C.B. 1218
Arenaria,nuttallii,R.C.B. 2094
Sabulina,nuttallii,R.C.B. 1587
Sedum,lanceolatum,R.C.B. 2171
Arctostaphylos,patula,R.C.B. 1361
Lupinus,argenteus,R.C.B. 2211
Glycyrrhiza,lepidota,R.C.B. 2065
Lathyrus,lanszwertii,R.C.B. 2218
Lupinus,argenteus,R.C.B. 1287
Lupinus,lepidus,R.C.B. 1612
Senna,bauhinioides,R.C.B. 2243
Vicia,americana,R.C.B. 2209
Geranium,richardsonii,R.C.B. 2202
Phacelia,hastata,R.C.B. 1564
Scutellaria,antirrhinoides,R.C.B. 1328
Linum,kingii,R.C.B. 1448
Linum,lewisii,R.C.B. 1413
Linum,lewisii,R.C.B. 2207
Mentzelia,NA,R.C.B. 2268
Anticlea,elegans,R.C.B. 2145
Calyptridium,umbellatum,R.C.B. 1562
Epilobium,clavatum,R.C.B. 2133
Epilobium,obcordatum,R.C.B. 2175
Oenothera,californica,R.C.B. 1236
Cordylanthus,ramosus,R.C.B. 2066
Orthocarpus,luteus,R.C.B. 1744
Diplacus,bigelovii,R.C.B. 1383
Erythanthe,moschata,R.C.B. 1745
Penstemon,eriantherus,R.C.B. 2083
Penstemon,laricifolius,R.C.B. 2078
Phlox,condensata,R.C.B. 1607
Phlox,hoodii,R.C.B. 2013
Polemonium,californicum,R.C.B. 2169
Polemonium,occidentale,R.C.B. 2048
Polemonium,pulcherrimum,R.C.B. 2157
Polygala,alba,R.C.B. 2258
Eriogonum,crosbyae,R.C.B. 1362
Polygonum,californicum,R.C.B. 1614
Androsacce,filiformis,R.C.B. 2043
Androsace,septentrionalis,R.C.B. 1420
Delphinium,nuttallianum,R.C.B. 1309
Ranunculus,acris,R.C.B. 2037
Ranunculus,eschscholtzii,R.C.B. 1610
Ranunculus,eschscholtzii,R.C.B. 2136
Ranunculus,glaberrimus,R.C.B. 2003
Ceanothus,prostratus,R.C.B. 1358
Potentilla,brevifolia,R.C.B. 2158
Potentilla,pulcherrima,R.C.B. 2205
Prunus,virginiana,R.C.B. 1288
Salix,NA,R.C.B. 1286
Salix,NA,R.C.B. 1293
Micranthes,odontoloma,R.C.B. 2135
Erythronium,albidum,E.J.W. 1
Claytonia,virginica,E.J.W. 2
Cardamine,douglasii,E.J.W. 3
Caulophyllum,thalictroides,E.J.W. 4
Mertensia,virginica,E.J.W. 5
Jeffersonia,diphylla,E.J.W. 6
Uvularia,grandiflora,E.J.W. 8
Helianthella,quinquenervis,none
Achillea,millefolium,none
Lathyrus,leucanthus,none
